Carrera;Cod. Materia;Curso;Materia;Titular;Docente;Dias;Horario
1;1654;1;CONSTRUCCION DE APLICACIONES INFORMATICAS;BERTAGNOLI PATRICIA;MENDEZ CEREZUELA ALEJANDRO;LU/JU;19/21
1;1654;2;CONSTRUCCION DE APLICACIONES INFORMATICAS;BERTAGNOLI PATRICIA;BERTAGNOLI PATRICI;MA/VI;21/23
1;1799;1;GESTION DE RECURSOS INFORMATICOs;FREIJEDO CLAUDIO;FREIJEDO CLAUDIO;MA/VI;19/21
1;1799;2;GESTION DE RECURSOS INFORMATICOS;FREIJEDO CLAUDIO;YUDOWSKY CARLA;LU/JU;19/21
1;1799;3;GESTION DE RECURSOS INFORMATICOS;FREIJEDO CLAUDIO;MAZZA NESTOR;LU/JU;21/23
1;1660;1;ACTUACION PROFESIONAL DE SISTEMAS;PIORUN JUAN;DUARTE IVAN;MA/VI;19/21
1;1660;2;ACTUACION PROFESIONAL DE SISTEMAS;PIORUN JUAN;MICHALLA BARBARA;LU/JU;21/23
1;1659;1;AUDITORIA DE SISTEMAS;MORTEO FRANCISCO;MARRA GASTON;LU/MI/JU;07/09
1;1659;2;AUDITORIA DE SISTEMAS;MORTEO FRANCISCO;MORTEO FRANCISCO;LU/MI/JU;19/21
1;1659;3;AUDITORIA DE SISTEMAS;MORTEO FRANCISCO;GIL PABLO;LU/MI/JU;21/23
1;657;1;SISTEMAS DE DATOS;CHINKES ERNESTO;FERNANDEZ BLANCO MARIA;LU/JU;07/09
1;657;2;SISTEMAS DE DATOS;CHINKES ERNESTO;SCHNEIDER GUSTAVO;MA/VI;19/21
2;732;1;ADMINISTRACION DE TURISMO;DEPTO ADM.;DE LA CRUZ GASTON;LU/JU;07/09
2;795;1;CONDUCCION DE EQUIPOS DE TRABAJO;DEPTO ADM.;ABADI MIGUEL ANGEL;LU/JU;07/09
2;795;2;CONDUCCION DE EQUIPOS DE TRABAJO;DEPTO ADM.;SCIARROTTA CAROLIN;LU/JU;17/19
3;795;1;SEMINARIO SINDICATURA CONCURSAL;GARRIDO ELISABET;VIGHENZONI MARIA;MA/VI;17/19
3;795;2;SEMINARIO SINDICATURA CONCURSAL;GARRIDO ELISABET;DUBINI PATRICIA;LU/JU;17/19
3;795;3;SEMINARIO SINDICATURA CONCURSAL;TURCO GRACIELA;TURCO GRACIELA;MA/VI;09/11
